% Model,pref_path.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 5 2018, 15:04"
% Table,"No PP - Global Evaluation 6 (attenuation, beta, Pe, tce_indoor, tce_emission_rate)"
SB,chi,p,alpha,beta,Pe,c,n
2,0,-5.5,1.3099513415470058E-6,6.621344909738239E-11,0.0021735457631267222,5.279103906434433E-7,2.199626627681016E-8
2,0,-4.5,1.293497418546267E-6,5.4174640170585414E-11,0.0017783556243764105,5.212794596741456E-7,2.1719977486422743E-8
2,0,-3.5,1.2771596865946888E-6,4.2135831243788576E-11,0.0013831654856260953,5.146953536976596E-7,2.144563973740245E-8
2,0,-2.5,1.2609568690693773E-6,3.009702231699189E-11,9.879753468757838E-4,5.081656182349591E-7,2.1173567426456564E-8
2,0,-1.5,1.2449242068965893E-6,1.805821339019514E-11,5.927852081254692E-4,5.017044553793256E-7,2.0904352307471834E-8
2,0,-0.5,1.2291477488493242E-6,6.0194044633983785E-12,1.9759506937515648E-4,4.953465427862777E-7,2.0639439282761556E-8
2,0,0.5,1.2138880233086827E-6,-6.019404463398374E-12,-1.9759506937515626E-4,4.891968733933992E-7,2.0383203058058325E-8
2,0,1.5,1.199150858008753E-6,-1.8058213390195124E-11,-5.927852081254692E-4,4.832577957775274E-7,2.0135741490730347E-8
2,0,2.5,1.1846829217616993E-6,-3.009702231699189E-11,-9.879753468757836E-4,4.774272174699648E-7,1.9892800727915178E-8
2,0,3.5,1.1704024055155623E-6,-4.2135831243788576E-11,-0.0013831654856260938,4.716721694227716E-7,1.9653007059282112E-8
2,0,4.5,1.1562775218927472E-6,-5.417464017058543E-11,-0.0017783556243764105,4.659798413227772E-7,1.9415826721782385E-8
2,0,5.5,1.142292640861195E-6,-6.621344909738236E-11,-0.0021735457631267214,4.6034393426706163E-7,1.9180997261127566E-8
2,0,6.5,1.1284390292766218E-6,-7.825225802417908E-11,-0.0025687359018770318,4.5476092879847864E-7,1.8948372033269907E-8
2,0,7.5,1.1147113917308345E-6,-9.029106695097565E-11,-0.00296392604062734,4.4922869086752635E-7,1.8717862119480295E-8
2,0,8.5,1.1011063390773677E-6,-1.0232987587777275E-10,-0.0033591161793776617,4.4374585464817924E-7,1.848941061034075E-8
2,0,9.5,1.087621623814764E-6,-1.1436868480456931E-10,-0.003754306318127982,4.383115143973499E-7,1.8262979766556217E-8
2,0,10.5,1.074255720800053E-6,-1.2640749373136621E-10,-0.004149496456878291,4.329250554824214E-7,1.803854397843423E-8
