% Model,pref_path.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 5 2018, 15:04"
% Table,"PP - Global Evaluation 6 (attenuation, beta, Pe, tce_indoor, tce_emission_rate)"
chi,p,SB,alpha,beta,Pe,c,n
0,5.5,2,1.1343976410386348E-6,-6.64011246512619E-11,-0.002179706466285046,4.5716224933856987E-7,1.9048427055773702E-8
0,6.5,1,5.280004178713035E-7,-9.15407204275801E-8,-3.004947601299334,2.127841684021353E-7,8.866007016755657E-9
0,6.5,2,1.1205990355247737E-6,-7.847405640603697E-11,-0.002576016732882323,4.516014113164838E-7,1.881672547152012E-8
0,7.5,1,4.4984842279775645E-7,-1.0562390818568388E-7,-3.4672472322689325,1.8128891438749585E-7,7.553704766145656E-9
0,7.5,2,1.1069265572775172E-6,-9.054698816081179E-11,-0.0029723269994795993,4.4609140258283945E-7,1.8587141774284998E-8
0,8.5,1,3.8745297789432295E-7,-1.1970709594376641E-7,-3.9295468632378507,1.5614355009141215E-7,6.5059812538088345E-9
0,8.5,2,1.0933768562860901E-6,-1.0261991991558689E-10,-0.003368637266076887,4.4063087308329435E-7,1.835961971180396E-8
0,9.5,1,3.367686981142776E-7,-1.3379028370184086E-7,-4.391846494206488,1.3571778534005388E-7,5.654907722502237E-9
0,9.5,2,1.0799477062626781E-6,-1.1469285167036147E-10,-0.003764947532674165,4.352189256238593E-7,1.813412190099414E-8
0,10.5,1,2.9499810432774853E-7,-1.4787347145997847E-7,-4.854146125177213,1.1888423604408266E-7,4.953509835170112E-9
0,10.5,2,1.0666375916124452E-6,-1.2676578342513635E-10,-0.004161257799271449,4.298549494198154E-7,1.7910622892492275E-8
