% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 6 2018, 21:48"
% Table,Accumulated Probe Table 2 -
period,Time,"Attenuation factor, Attenuation factor",Relative air entry rate,"Average crack Peclet number, Crack Peclet number","TCE in indoor air, TCE in indoor air",TCE emission rate
3600,1804.2629732145217,2.2791376096896762E-5,6.271401640214767E-4,0.23827224137909533,9.184924567049396E-6,3.827243003043297E-7
3600,1814.1463007798488,2.4335172134650494E-5,8.154476665995181E-4,0.3098167752518028,9.80707437026415E-6,4.087102000470944E-7
3600,1824.029628345176,2.6213249399930447E-5,0.0010036749690659737,0.3813308383279561,1.0563939508171971E-5,4.4045720831861377E-7
3600,1833.9129559105031,2.851983843714385E-5,0.0011917660656261832,0.452793152068907,1.1493494890168972E-5,4.788799227104174E-7
3600,1839.66889363082,3.0167206099217822E-5,0.0013012238880254364,0.4943799649949105,1.2157384057984783E-5,5.065415328691681E-7
3600,1845.424831351137,3.2079068223130625E-5,0.0014106046166125047,0.5359374873149558,1.2927864493921642E-5,5.386780235416454E-7
3600,1850.6051752994224,3.408826023120029E-5,0.001508973123395343,0.5733110856537449,1.373756887317372E-5,5.724302405976364E-7
3600,1855.7855192477077,3.642476419504006E-5,0.0016072644878145268,0.6106553749401937,1.4679179970601145E-5,6.118456829800887E-7
3600,1860.965863195993,3.913874632163902E-5,0.0017054684934612668,0.6479664736072075,1.5772914767620526E-5,6.574501070819596E-7
3600,1871.3265510925637,4.5849066793548415E-5,0.0019015797495484862,0.722475923373489,1.847717391780001E-5,7.696562283753252E-7
3600,1881.6872389891344,5.435696318174285E-5,0.002097244282194467,0.7968156474520639,2.190585616224237E-5,9.117476339972015E-7
3600,1892.047926885705,6.458233219321819E-5,0.0022924070318435137,0.8709647268131968,2.6026679873866933E-5,1.0816994687960034E-6
3600,1902.4086147822757,7.624261998793846E-5,0.0024870049646381013,0.9448992127140501,3.07257758551392E-5,1.2802406738155264E-6
3600,1912.7693026788463,8.935804987445193E-5,0.002680962369073468,1.0185903397350715,3.601129409940413E-5,1.4997706827838275E-6
3600,1923.129990575417,1.0364836734590416E-4,0.002874221654815134,1.0920162273160998,4.177029204039938E-5,1.7404590769330067E-6
3600,1933.4906784719876,1.1870052292414092E-4,0.0030667196301027403,1.165152866721547,4.783631073842879E-5,1.991048407032674E-6
3600,1943.8513663685583,1.3456862689571476E-4,0.003258393352108802,1.2379763437940454,5.423115663897305E-5,2.2628019668514073E-6
3600,1954.212054265129,1.5095123291284797E-4,0.0034491801475184437,1.3104628467733614,6.083334686387774E-5,2.5264899162169795E-6
3600,1960.7908684090487,1.6140351498394304E-4,0.003569838232483985,1.3563050268705439,6.504561653852905E-5,2.7091590027510946E-6
3600,1967.3696825529685,1.7242602559719758E-4,0.003690095949271227,1.4019950932478655,6.948768831567064E-5,2.8968616502356045E-6
3600,1973.9484966968882,1.833799842092877E-4,0.003809938273579827,1.447527337653951,7.390213363634294E-5,3.080640979602095E-6
3600,1987.1061249847276,2.0533723801393619E-4,0.00404831847769967,1.5380962228802018,8.275090691961629E-5,3.4479543147717003E-6
3600,2013.4213815604062,2.5006354993091707E-4,0.004519413265367732,1.7170814281011422,1.0077561062215959E-4,4.1989840363550585E-6
3600,2039.7366381360848,2.964520788468401E-4,0.004982127599314705,1.8928826090696764,1.1947018777527656E-4,4.972707081959017E-6
3600,2066.0518947117635,3.437707903819585E-4,0.005435485576746232,2.0651289865573217,1.3853962852392927E-4,5.763946252875445E-6
3600,2118.6824078631207,4.3853253210952674E-4,0.006310329534180454,2.3975124672422976,1.767286104401393E-4,7.363687483478129E-6
3600,2171.312921014478,5.348782093674516E-4,0.007136568556180374,2.711429251688693,2.15555918375083E-4,8.960975699558978E-6
3600,2223.9434341658352,6.292855953892317E-4,0.007907235892366337,3.004232430444094,2.536020949418604E-4,1.0536383706931077E-5
3600,2276.5739473171925,7.198302675056102E-4,0.00861583336628176,3.27345312149781,2.900915978047609E-4,1.2044021466737466E-5
3600,2381.834973619907,8.84174367435585E-4,0.009823493229320879,3.732284876977662,3.563222700765408E-4,1.48467675913352E-5
3600,2487.0959999226216,0.0010193047373615223,0.01071890262141453,4.072481877657615,4.107798091566935E-4,1.7108158716973788E-5
3600,2592.357026225336,0.001115285400619385,0.011271925255891716,4.282594305803325,4.494600164496122E-4,1.8738151328069036E-5
3600,2697.6180525280506,0.0011688314313087508,0.011463948363224957,4.355550526447023,4.7103906681742657E-4,1.9625619063773815E-5
3600,2802.879078830765,0.0011777549207329454,0.011288509130469533,4.288895093399313,4.746352330553771E-4,1.9786519835166845E-5
3600,2908.1401051334797,0.0011417670682962852,0.010751512216498069,4.084871390810785,4.6013212852340294E-4,1.9172121144837613E-5
3600,3013.401131436194,0.0010635632886897113,0.009871031022241482,3.7503461288623505,4.2861600534195365E-4,1.7864690890025224E-5
3600,3118.6621577389087,9.456802528210838E-4,0.008676699404471832,3.2965782347905237,3.811091418868968E-4,1.5891713500693255E-5
3600,3223.9231840416232,7.942886455631782E-4,0.007208714305874494,2.7388399175521903,3.2009832416196083E-4,1.3346716778438072E-5
3600,3329.1842103443378,6.147393600597899E-4,0.005516482869314975,2.095902659737872,2.4773996210409536E-4,1.0339077464712837E-5
3600,3434.4452366470523,4.144700845474834E-4,0.003656959569624004,1.389405436417244,1.670314440726358E-4,6.9929834442378895E-6
3600,3539.706262949767,2.0246565855107243E-4,0.0016927293291012,0.6431264244132572,8.15936603960822E-5,3.47487904476283E-6
3600,3562.0439431072678,1.6301217524709885E-4,0.0012686587184292401,0.4820073306210914,6.569390662458084E-5,2.7372444084431723E-6
3600,3584.3816232647687,1.1757939749443778E-4,8.434896961401778E-4,0.32047091226102503,4.7384497190258425E-5,1.9863931199327072E-6
3600,3600,8.745773895123786E-5,5.459113946168735E-4,0.2074106221417113,3.524546879734886E-5,1.4754534913951564E-6
43200,0,7.917339823556563E-5,5.459067958168125E-4,0.20740887489849355,3.190687948893295E-5,1.3294533120388839E-6
43200,17.54607001654469,7.673215506251701E-5,5.180440441257037E-4,0.19682285174561914,3.092305849019436E-5,1.2884937386000142E-6
43200,29.970842379724523,7.50232077703705E-5,4.983138903421143E-4,0.1893266838481198,3.0234352731459315E-5,1.2597990051413227E-6
43200,54.8203871060842,7.154859833744952E-5,4.5885410614157466E-4,0.17433454689821115,2.8834085129992155E-5,1.2012914572261403E-6
43200,104.51947655880355,6.448374680321126E-5,3.7993850680218824E-4,0.1443517809822229,2.5986949961694138E-5,1.08278958533351E-6
43200,203.91765546424222,5.102926655484571E-5,2.221374145906263E-4,0.08439768763853762,2.0564794421602823E-5,8.568664600013035E-7
43200,402.71401327511956,3.2589420800074855E-5,-9.32288027263353E-5,-0.03542084698299175,1.3133536582430169E-5,5.47230213764252E-7
43200,581.6307353049092,2.7073051166997014E-5,-3.7660915655550253E-4,-0.14308684565974802,1.0910439620299798E-5,4.5552132077908885E-7
43200,689.1421780905796,2.524220707480996E-5,-5.466226380193973E-4,-0.2076808481125673,1.0172609451148414E-5,4.255683420781408E-7
43200,796.65362087625,2.3864349803141494E-5,-7.164087335515523E-4,-0.2721884587845362,9.617332970666023E-6,4.0307054938273655E-7
43200,904.1650636619204,2.2852994253531154E-5,-8.858632189979793E-4,-0.33657007931438926,9.209756684173056E-6,3.852995702551013E-7
43200,1011.6765064475908,2.2035935459192528E-5,-0.0010549462672679772,-0.40081057801273673,8.88048199005459E-6,3.70609514659179E-7
43200,1119.1879492332612,2.1318439140173293E-5,-0.0012236329702565764,-0.4649004914289122,8.591330973489837E-6,3.5807870138005986E-7
43200,1226.6993920189316,2.0675172545033435E-5,-0.001391889876269989,-0.5288271101073415,8.332094535648475E-6,3.471490718621264E-7
43200,1334.210834804602,2.0099507840621886E-5,-0.001559675634030766,-0.5925747232673564,8.10010165977062E-6,3.374563793604668E-7
43200,1441.7222775902724,1.957896022527765E-5,-0.0017267764066670032,-0.6560620868846058,7.890320970786893E-6,3.2876337343390374E-7
43200,1549.2337203759428,1.9108802600414393E-5,-0.001893477950423651,-0.7193977696409896,7.700847447967E-6,3.208674473290279E-7
43200,1656.7451631616132,1.8677466363783123E-5,-0.0020595830455058172,-0.7825068409145066,7.5270189446046E-6,3.1362852893612715E-7
43200,1871.768048732954,1.790944744414862E-5,-0.0023898415894269996,-0.9079834855454267,7.217507319991895E-6,3.007294715338425E-7
43200,2086.7909343042948,1.723857098655198E-5,-0.002717229054973387,-1.0323693081898198,6.947144107580447E-6,2.8946842848001534E-7
43200,2301.8138198756355,1.6642352090760424E-5,-0.0030414252665203288,-1.1555426630528969,6.706867892576451E-6,2.794606657481036E-7
43200,2516.8367054469763,1.6105577786979163E-5,-0.0033621131693990112,-1.277383090098886,6.490547848152603E-6,2.7044754680672353E-7
43200,2731.859591018317,1.5617202653054222E-5,-0.0036789791399665546,-1.3977714328574582,6.293732669180852E-6,2.62246895996814E-7
43200,2946.882476589658,1.5169218757700727E-5,-0.003991713292321128,-1.5165899549554396,6.113195159353393E-6,2.547249982799964E-7
43200,3140.403073603865,1.4796023106310761E-5,-0.0042693884555662955,-1.6220883543841602,5.962797311843237E-6,2.4844988792042093E-7
43200,3297.3695870238344,1.4510965817028053E-5,-0.004491823588320778,-1.7065991554513533,5.847919224262306E-6,2.436627513507524E-7
43200,3454.336100443804,1.4240409390867241E-5,-0.004711654849468325,-1.790120655625965,5.738884984519499E-6,2.3912332910214444E-7
43200,3768.2691272837424,1.3738172770466278E-5,-0.0051429119545684165,-1.9539701472355264,5.5364836264979105E-6,2.306868308982365E-7
43200,4396.13518096362,1.2861537327967024E-5,-0.00596902801201974,-2.2678402131964623,5.1831995431707105E-6,2.1596682059149806E-7
43200,5024.001234643497,1.2129803453383067E-5,-0.006740852237605081,-2.5610829342520587,4.888310791713376E-6,2.03572389237139E-7
43200,5651.867288323374,1.1508877837374345E-5,-0.007451952678845908,-2.831254589171476,4.638077768461861E-6,1.9306331171478136E-7
43200,6279.733342003251,1.0960713540309624E-5,-0.008096640457976891,-3.07619377651077,4.4171675567447786E-6,1.840355862409464E-7
43200,6907.599395683128,1.0505147562925526E-5,-0.008670050292872562,-3.2940520072981094,4.233574467858987E-6,1.7639423008353624E-7
43200,8163.331503042882,9.808614556039253E-6,-0.009579679752452617,-3.6396517034948395,3.952871666083819E-6,1.6463548902808805E-7
43200,9419.063610402636,9.33942540600052E-6,-0.010152747764336788,-3.8573800638963385,3.763788438618209E-6,1.568244895461097E-7
43200,10674.79571776239,9.07945350048606E-6,-0.010370418876555328,-3.9400808487722436,3.659019760695882E-6,1.524565233908335E-7
