% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 16 2018, 17:13"
% Table,Accumulated Probe Table 2 - 
% period,Time,"Attenuation factor, Attenuation factor",Relative air entry rate,"Average crack Peclet number, Crack Peclet number","TCE in indoor air, TCE in indoor air",TCE emission rate
3600,23.392387899701678,3.6874978353349017E-6,-0.006423480527693915,-2.4405024436230875,1.4860616276399655E-6,6.192524088192573E-8
3600,27.064313278607866,4.25582485726611E-6,-0.0027617530708728866,-1.0492855219362847,1.7150974174782422E-6,7.144318078369323E-8
3600,30.736238657514054,6.659198130557645E-6,0.0013868471006385555,0.5269111852130216,2.6836568466147314E-6,1.1162027718781798E-7
3600,34.408164036420246,2.3283949274275118E-4,0.005408933575064158,2.055040962672314,9.383431557532874E-5,3.908750867338745E-6
3600,38.080089415326434,5.33572823954133E-4,0.008720436893556893,3.313195619793844,2.150298480535156E-4,8.948470951530073E-6
3600,45.42394017313881,8.993066650083725E-4,0.011452957317425428,4.351374647962443,3.6242058599837414E-4,1.510326909648159E-5
3600,52.03340585516995,7.403296959743619E-4,0.008636524669889697,3.281314463460183,2.9835286747766787E-4,1.242885008040281E-5
3600,58.642871537201096,1.8631885165867489E-4,0.002087494993220942,0.7931115553386219,7.508649721844599E-5,3.1423008446417584E-6
3600,65.25233721923223,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,71.86180290126337,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,78.47126858329452,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,82.58583593891858,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,86.70040329454264,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,90.8149706501667,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,94.92953800579076,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,99.04410536141482,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,107.27324007266296,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
3600,115.5023747839111,5.352058250947271E-5,5.445524619324467E-4,0.20689431660878974,2.1568794751317502E-5,9.070506769089689E-7
