% Model,pe-analysis-refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 4 2018, 07:53"
% Table,Soil study - gravel sub-base - 
L,Pe,GW depth,Base depth,Crack width,Soil type,Indoor/outdoor pressure difference,Relative volumetric entry rate,Crack area,Sub-slab pressure difference
15,1,2,0.5,3,4,-3905.3744620871885,6.611286348065169E-8,0.299100000000004,0.039459245102180934
15,1,2,0.5,3,5,-2664.3959195952084,6.550979378097444E-8,0.299100000000004,0.03746051455206928
15,1,2,0.5,3,6,-12523.720577805523,6.265197798411829E-8,0.299100000000004,0.03172870841273026
15,1,2,0.5,3,7,-5191.257983902647,6.56650681157966E-8,0.299100000000004,0.038011931030420484
15,1,2,0.5,3,8,-8812.037848371096,6.428139224143995E-8,0.299100000000004,0.0347205805401245
15,1,2,0.5,3,9,-7661.298433032957,6.57005834803906E-8,0.299100000000004,0.038259287747122374
15,1,2,0.5,3,10,-2495.946659908925,6.326492897306812E-8,0.299100000000004,0.032690950298400724
15,1,2,0.5,3,11,-5909.855824352272,6.664705094063564E-8,0.299100000000004,0.04144155190533638
15,1,2,0.5,3,12,-6951.962683910146,6.537413805305223E-8,0.299100000000004,0.037401209408471914
15,1,2,1,1,1,-2.485162758887203,2.368034605039584E-8,0.0998999999999961,0.01948227543512702
15,1,2,1,1,2,-44.987867756945036,2.350030433248316E-8,0.0998999999999961,0.01884882317749101
15,1,2,1,1,3,-410.1871681113868,2.33343265491322E-8,0.0998999999999961,0.018473090593393707
15,1,2,1,1,4,-2973.8855218843332,2.3229752425378375E-8,0.0998999999999961,0.01823363441508263
15,1,2,1,1,5,-2261.112165229186,2.2999651741284264E-8,0.0998999999999961,0.017591598659110884
15,1,2,1,1,6,-18094.286239858444,2.225292723258761E-8,0.0998999999999961,0.016001903637313967
15,1,2,1,1,7,-4271.537996528587,2.30731099504567E-8,0.0998999999999961,0.017803125740000623
15,1,2,1,1,8,-9263.900090225932,2.2680106349179588E-8,0.0998999999999961,0.016901139976956372
15,1,2,1,1,9,-6238.525182385915,2.3111392094315676E-8,0.0998999999999961,0.017936114809597507
15,1,2,1,1,10,-3214.567091063931,2.2374088419024917E-8,0.0998999999999961,0.01622600819326989
15,1,2,1,1,11,-4124.549133443421,2.3413909891510665E-8,0.0998999999999961,0.01878633494127118
15,1,2,1,1,12,-5975.770736284152,2.3022103910016592E-8,0.0998999999999961,0.017723732728376893
15,1,2,1,2,1,-4.947656015882788,4.6094270464019395E-8,0.1995999999999968,0.028408085584611702
15,1,2,1,2,2,-89.6733343777374,4.541657960958622E-8,0.1995999999999968,0.027187066337203202
15,1,2,1,2,3,-817.4627500456133,4.493676613793262E-8,0.1995999999999968,0.026517843929752864
15,1,2,1,2,4,-5925.686674509862,4.46389506239468E-8,0.1995999999999968,0.026092078858053147
15,1,2,1,2,5,-4503.903693971045,4.3986539348641544E-8,0.1995999999999968,0.024929111428112567
15,1,2,1,2,6,-35985.40070229814,4.18675238334581E-8,0.1995999999999968,0.022126042136935413
15,1,2,1,2,7,-8509.364686241259,4.419464008845094E-8,0.1995999999999968,0.025313203720644297
