% Model,pe-analysis-refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 4 2018, 07:53"
% Table,Soil study - uniform soil  - 
L,Pe,GW depth,Base depth,Crack width,Soil type,Indoor/outdoor pressure difference,Relative volumetric entry rate,Crack area,Sub-slab pressure difference
15,1,2,1,1,7,-6859.877753023362,1.612157918977081E-8,0.0998999999999961,3069.2504403875564
15,1,2,1,1,8,-14706.171593094752,1.6045689975379026E-8,0.0998999999999961,6461.408216645142
15,1,2,1,1,9,-10058.741777429503,1.612848420917078E-8,0.0998999999999961,4538.313339400587
15,1,2,1,1,10,-5059.959370358403,1.598673987591697E-8,0.0998999999999961,2188.528168335032
15,1,2,1,1,11,-6759.54520572663,1.6185987002709304E-8,0.0998999999999961,3134.28376147985
15,1,2,1,1,12,-9607.897091316436,1.6111231471183814E-8,0.0998999999999961,4317.39983092579
15,1,2,1,2,1,-7.5850867710771235,3.282770264417295E-8,0.1995999999999968,3.0625681414627994
15,1,2,1,2,2,-137.41387941210124,3.262966590823069E-8,0.1995999999999968,55.58904259946987
15,1,2,1,2,3,-1249.2865130342502,3.252710759582021E-8,0.1995999999999968,503.69902443306216
15,1,2,1,2,4,-9036.97552465597,3.2465151345958615E-8,0.1995999999999968,3628.685781625147
15,1,2,1,2,5,-6787.558847213719,3.233279727794044E-8,0.1995999999999968,2636.0289985100735
15,1,2,1,2,6,-53642.99111789012,3.189753734245429E-8,0.1995999999999968,19959.228182498562
15,1,2,1,2,7,-12880.366609089713,3.2374745805094776E-8,0.1995999999999968,5066.7132435979165
15,1,2,1,2,8,-27652.398914951846,3.2145951243626094E-8,0.1995999999999968,10564.783065690848
15,1,2,1,2,9,-18879.142927400288,3.2396209029258223E-8,0.1995999999999968,7503.524131527801
15,1,2,1,2,10,-9526.666395748658,3.1968640776952966E-8,0.1995999999999968,3549.2748578104934
15,1,2,1,2,11,-12667.238199696487,3.257122948789912E-8,0.1995999999999968,5223.827786691186
15,1,2,1,2,12,-18038.49006662228,3.234412879362805E-8,0.1995999999999968,7123.513497221019
15,1,2,1,3,1,-10.948652517546575,4.8194148650395005E-8,0.29910000000000486,4.048638180792057
15,1,2,1,3,2,-198.53962397014863,4.7829178547824794E-8,0.29910000000000486,73.27680487225395
15,1,2,1,3,3,-1805.9742646891136,4.763947461089615E-8,0.29910000000000486,662.3988155269351
15,1,2,1,3,4,-13068.743931456127,4.752465936185895E-8,0.29910000000000486,4763.8046451480695
15,1,2,1,3,5,-9829.082575951601,4.7276172947262145E-8,0.29910000000000486,3440.1242004005594
15,1,2,1,3,6,-77934.42790179595,4.647183317908751E-8,0.29910000000000486,25624.813997132514
15,1,2,1,3,7,-18643.101915797084,4.735521422904561E-8,0.29910000000000486,6626.218920885355
15,1,2,1,3,8,-40095.298657828585,4.693048091811202E-8,0.29910000000000486,13698.838518636026
15,1,2,1,3,9,-27316.76089238377,4.7396197701689296E-8,0.29910000000000486,9826.546200455568
15,1,2,1,3,10,-13834.52118567132,4.660197505262918E-8,0.29910000000000486,4567.762808144346
15,1,2,1,3,11,-18299.083916620795,4.772399680716654E-8,0.29910000000000486,6888.6722675792325
15,1,2,1,3,12,-26110.49490448021,4.729940841336676E-8,0.29910000000000486,9311.953618502333
15,1,2,1.5,1,1,-8.191326143804208,1.5977463113809633E-8,0.0998999999999971,2.3775403014382843
15,1,2,1.5,1,2,-198.5607517758016,1.6000874139285597E-8,0.0998999999999971,68.1898141737146
15,1,2,1.5,1,3,-2135.36851447426,1.598297202293069E-8,0.0998999999999971,764.2735228293228
15,1,2,1.5,1,4,-17221.62155318589,1.5966344059906782E-8,0.0998999999999971,6265.934169724699
15,1,2,1.5,1,5,-17604.735185334674,1.5875702771404896E-8,0.0998999999999971,6360.54945945341
