,p,alpha,beta,Pe,c,n,soil_type
21,-5,8.467265956810576e-06,1.5890227599566572e-05,0.006037247115372129,3.4123081805946624e-06,1.4217950752477728e-07,clay-loam
22,-3,8.411426714575165e-06,9.534136559705778e-06,0.0036223482692102882,3.3898049659737917e-06,1.4124187358224098e-07,clay-loam
23,-1,8.355687318286814e-06,3.178045519889182e-06,0.001207449423065266,3.367341989269586e-06,1.4030591621956634e-07,clay-loam
24,1,8.300165056138347e-06,-3.1780455198934033e-06,-0.001207449423066867,3.3449665176237544e-06,1.3937360490098985e-07,clay-loam
25,3,8.244872799538637e-06,-9.534136559645039e-06,-0.003622348269187225,3.322683738214071e-06,1.3844515575892019e-07,clay-loam
26,5,8.189713900862566e-06,-1.5890227599627837e-05,-0.0060372471153954145,3.300454702047615e-06,1.375189459186508e-07,clay-loam
27,7,8.134686287488644e-06,-2.2246318639324263e-05,-0.008452145961494793,3.278278573857924e-06,1.3659494057741414e-07,clay-loam
28,9,8.079796922034676e-06,-2.860240967922405e-05,-0.010867044807671478,3.2561581595799755e-06,1.3567325664916605e-07,clay-loam
29,11,8.025054942823764e-06,-3.4958500718721395e-05,-0.013281943653695222,3.234097141957977e-06,1.3475404758158246e-07,clay-loam
30,13,7.970469953117506e-06,-4.131459175877313e-05,-0.015696842499929618,3.2120993911063557e-06,1.338374746294309e-07,clay-loam
31,15,7.91605130248735e-06,-4.767068279844068e-05,-0.018111741346018177,3.1901686749024027e-06,1.3292369478760039e-07,clay-loam
32,-15,9.24120242953023e-06,9.41330097012865e-05,0.03576438648971218,3.7242045791006826e-06,1.5517519079586142e-07,loam
33,-13,9.146916393536663e-06,8.158194174160491e-05,0.030995801624603414,3.6862073065952765e-06,1.5359197110813624e-07,loam
34,-11,9.052825000718783e-06,6.903087378115342e-05,0.02622721675920208,3.6482884752896714e-06,1.5201201980373745e-07,loam
35,-9,8.95892693819485e-06,5.647980582103316e-05,0.021458631893926425,3.6104475560925247e-06,1.5043531483718842e-07,loam
36,-7,8.865214152895445e-06,4.3928737860791886e-05,0.016690047028605184,3.5726813036168646e-06,1.4886172098403562e-07,loam
37,-5,8.771673332045656e-06,3.137766990066808e-05,0.011921462163328327,3.5349843528143998e-06,1.4729101470059995e-07,loam
38,-3,8.678286985128933e-06,1.8826601940319325e-05,0.007152877297965964,3.4973496550069603e-06,1.4572290229195672e-07,loam
39,-1,8.585048134102898e-06,6.275533980096955e-06,0.00238429243265173,3.4597743980434684e-06,1.441572665851448e-07,loam
40,1,8.492253119378846e-06,-6.275533980088974e-06,-0.002384292432648689,3.4223780071096764e-06,1.4259908362956944e-07,loam
41,3,8.39995734274173e-06,-1.882660194033217e-05,-0.00715287729797085,3.385182809124917e-06,1.4104928371353804e-07,loam
42,5,8.307946625007432e-06,-3.137766990057854e-05,-0.011921462163294302,3.3481024898779948e-06,1.3950427041158324e-07,loam
43,7,8.21628664282763e-06,-4.392873786078362e-05,-0.016690047028601985,3.3111635170595357e-06,1.3796514654414768e-07,loam
44,9,8.125043128124772e-06,-5.647980582103573e-05,-0.021458631893927452,3.274392380634284e-06,1.3643301585976088e-07,loam
45,11,8.034270479318584e-06,-6.903087378106261e-05,-0.02622721675916757,3.237811003165389e-06,1.3490879179855777e-07,loam
46,13,7.944012446418256e-06,-8.158194174153717e-05,-0.030995801624577574,3.2014370159065574e-06,1.3339320899610635e-07,loam
47,15,7.854303111815491e-06,-9.413300970129045e-05,-0.03576438648971367,3.1652841540616423e-06,1.3188683975256828e-07,loam
48,-15,2.6167041725767412e-05,0.00228233996400654,0.867139899517418,1.0545317815484269e-05,4.393882423118436e-07,loamy-sand
49,-13,2.391558954835378e-05,0.001978027968805945,0.7515212462485368,9.637982587986574e-06,4.015826078327752e-07,loamy-sand
50,-11,2.168814343351427e-05,0.0016737159736046395,0.6359025929793787,8.74032180370625e-06,3.6418007515442684e-07,loamy-sand
51,-9,1.951789399548508e-05,0.0013694039784038596,0.5202839397104237,7.865711280180486e-06,3.2773797000752074e-07,loamy-sand
52,-7,1.7423161753183146e-05,0.0010650919832031658,0.4046652864415039,7.021534186532808e-06,2.9256392443886684e-07,loamy-sand
53,-5,1.536179576548355e-05,0.0007607799880020652,0.28904663317242796,6.190803693489871e-06,2.5795015389541026e-07,loamy-sand
54,-3,1.3408530477521173e-05,0.000456467992801508,0.17342797990355902,5.4036377824410326e-06,2.251515742683764e-07,loamy-sand
55,-1,1.1604913072735468e-05,0.00015215599760043147,0.0578093266344928,4.676779968312394e-06,1.9486583201301656e-07,loamy-sand
56,1,9.946579814333059e-06,-0.00015215599760049625,-0.057809326634517474,4.008471665176223e-06,1.6701965271567506e-07,loamy-sand
57,3,8.460485647389459e-06,-0.00045646799280154725,-0.1734279799035741,3.409575715897952e-06,1.420656548290813e-07,loamy-sand
58,5,7.158491404684979e-06,-0.0007607799880021195,-0.28904663317245033,2.884872036088047e-06,1.2020300150366814e-07,loamy-sand
59,7,6.0288078212959034e-06,-0.0010650919832029886,-0.4046652864414367,2.429609551982249e-06,1.0123373133259393e-07,loamy-sand
